ls.n18204:finitimus, adjective#1
ls.n43312:seditio, noun#1
ls.n18045:festus1, adjective#1
ls.n47926:terror, noun#1
ls.n45654:studium, noun#1
ls.n30005:munimentum, noun#1
ls.n9892:concordia1, noun#1
ls.n11543:creo1, participle#1
ls.n24644:intueor, participle#1
ls.n29030:migro, verb#1
ls.n13560:detrudo, verb#1
ls.n19075:funus, noun#1
ls.n2365:amplus, adverb#1
ls.n42969:scindo, participle#1
ls.n31857:obsideo, participle#1
ls.n50000:utique2, adverb#1
ls.n14334:displiceo, verb#1
ls.n11914:cunctus, adjective#1
ls.n38341:princeps1, noun#1
ls.n21521:illic2, adverb#1
ls.n32256:odi, participle#1
ls.n16876:exiguus, adjective#1
ls.n16113:erga, indeclinable#1
ls.n48733:trano, verb#1
ls.n797:adicio, verb#1
ls.n29219:miraculum, noun#1
ls.n36504:placeo, supine#1
ls.n29348:mobilis, adjective#1
ls.n44923:spectaculum, noun#1
ls.n40278:quondam, adverb#1
ls.n14731:donec, indeclinable#1
ls.n47901:terreo, verb#1
ls.n8469:clades, noun#1
ls.n45414:stimulo, participle#1
ls.n28813:merito1, adverb#1
ls.n29782:mox, adverb#1
ls.n20088:habito, verb#1
ls.n31216:noster, adjective#1
ls.n41303:rescindo, verb#1
ls.n3357:arbiter, noun#1
ls.n3368:arbitrium, noun#1
ls.n22454:incommodus, adjective#1
ls.n25653:laetus1, adjective#1
ls.n45870:subicio, verb#1
ls.n43239:secretus, adjective#1
ls.n38245:precor, participle#1
ls.n23557:innocens, adjective#1
ls.n29060:mille, noun#1
ls.n43178:scutum, noun#1
ls.n14166:disciplina, noun#1
ls.n24654:intus, adverb#1
ls.n17953:ferio, verb#1
ls.n25504:laboro, participle#1
ls.n42500:sanctus, adjective#1
ls.n47751:tendo, participle#1
ls.n38951:proprius, adjective#1
ls.n47450:tamquam, adverb#1
ls.n2636:animus, noun#1
ls.n17940:fere, adverb#1
ls.n34686:percello, participle#1
ls.n517:acies, noun#1
ls.n38100:praeterquam, adverb#1
ls.n24407:interpres, noun#1
ls.n22350:incipio, participle#1
ls.n15216:effero1, verb#1
ls.n43666:sententia, noun#1
ls.n29148:ministerium, noun#1
ls.n44971:spes, noun#1
ls.n32947:ordo, noun#1
ls.n28988:meus, adjective#1
ls.n9823:concilium, noun#1
ls.n38365:prius, adverb#1
ls.n4470:augeo, verb#1
